Sigla da UF;Nome do Município;Rede;IDEB 2017;IDEB 2019;IDEB 2021;IDEB 2023
PE;Abreu e Lima;Estadual;3,8;4,2;4,1;4,6
PE;Abreu e Lima;Pública;3,8;4,2;4,1;4,6
PE;Afogados da Ingazeira;Estadual;4,1;4,3;4,4;4,9
PE;Afogados da Ingazeira;Federal;-;5,7;-;-
PE;Afogados da Ingazeira;Pública;4,1;4,4;4,3;4,9
PE;Afrânio;Estadual;4,0;4,6;4,9;4,5
PE;Afrânio;Pública;4,0;4,6;4,9;4,5
PE;Agrestina;Estadual;3,8;4,5;3,7;4,3
PE;Agrestina;Pública;3,8;4,5;3,7;4,3
PE;Água Preta;Estadual;3,8;4,1;4,2;4,5
PE;Água Preta;Pública;3,8;4,1;4,2;4,5
PE;Águas Belas;Estadual;3,8;4,2;4,3;4,4
PE;Águas Belas;Pública;3,8;4,2;4,3;4,4
PE;Alagoinha;Estadual;4,2;4,0;4,3;4,0
PE;Alagoinha;Pública;4,2;4,0;4,3;4,0
PE;Aliança;Estadual;3,9;4,7;4,5;4,3
PE;Aliança;Pública;4,0;4,7;4,5;4,3
PE;Altinho;Estadual;4,0;4,6;4,6;4,7
PE;Altinho;Pública;4,0;4,6;4,6;4,7
PE;Amaraji;Estadual;4,3;4,3;4,5;4,8
PE;Amaraji;Pública;4,3;4,3;4,5;4,8
PE;Angelim;Estadual;3,7;4,6;4,2;4,4
PE;Angelim;Pública;3,7;4,6;4,2;4,4
PE;Araçoiaba;Estadual;3,7;4,2;4,2;4,2
PE;Araçoiaba;Pública;3,7;4,2;4,2;4,2
PE;Araripina;Estadual;4,3;4,8;4,5;4,6
PE;Araripina;Pública;4,3;4,8;4,5;4,6
PE;Arcoverde;Estadual;4,3;4,7;4,7;4,8
PE;Arcoverde;Pública;4,3;4,7;4,7;4,8
PE;Barra de Guabiraba;Estadual;3,2;3,7;4,1;4,2
PE;Barra de Guabiraba;Pública;3,2;3,7;4,1;4,2
PE;Barreiros;Estadual;3,6;4,1;4,5;4,9
PE;Barreiros;Federal;3,9;-;-;-
PE;Barreiros;Pública;3,7;4,2;4,2;4,7
PE;Belém de Maria;Estadual;3,9;3,9;4,3;4,5
PE;Belém de Maria;Pública;3,9;3,9;4,3;4,5
PE;Belém do São Francisco;Estadual;4,5;4,5;4,3;4,6
PE;Belém do São Francisco;Pública;4,5;4,5;4,3;4,6
PE;Belo Jardim;Estadual;4,0;4,5;4,5;4,4
PE;Belo Jardim;Federal;3,8;-;-;-
PE;Belo Jardim;Pública;4,0;4,5;4,4;4,5
PE;Betânia;Estadual;3,6;4,1;4,2;4,2
PE;Betânia;Pública;3,6;4,1;4,2;4,2
PE;Bezerros;Estadual;4,4;4,6;4,8;4,8
PE;Bezerros;Pública;4,4;4,6;4,8;4,8
PE;Bodocó;Estadual;4,2;4,5;4,3;4,7
PE;Bodocó;Pública;4,2;4,5;4,3;4,7
PE;Bom Conselho;Estadual;3,7;4,0;4,8;4,5
PE;Bom Conselho;Pública;3,7;4,0;4,8;4,5
PE;Bom Jardim;Estadual;4,3;4,6;4,7;4,7
PE;Bom Jardim;Pública;4,3;4,6;4,7;4,7
PE;Bonito;Estadual;4,2;4,5;4,6;4,6
PE;Bonito;Municipal;3,8;4,9;-;4,0
PE;Bonito;Pública;4,2;4,5;4,5;4,5
