MUNICÍPIO DO FATO;REGIAO GEOGRÁFICA;NATUREZA;DATA DO FATO;ANO;SEXO;IDADE SENASP;TOTAL DE ENVOLVIDOS
AGUAS BELAS;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/01/2015;2015;FEMININO;2) 12-17;1
ARCOVERDE;SERTÃO;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;1
BEZERROS;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;MASCULINO;2) 12-17;1
BONITO;AGRESTE;ESTUPRO;01/01/2015;2015;FEMININO;1) 00-11;1
BREJAO;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;1) 00-11;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/01/2015;2015;FEMININO;3) 18-24;1
CHA DE ALEGRIA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;MASCULINO;1) 00-11;1
CUMARU;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;1
CUPIRA;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;(vazio);1
FLORES;SERTÃO;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;3) 18-24;1
GARANHUNS;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;1) 00-11;1
MORENO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/01/2015;2015;FEMININO;1) 00-11;1
PAUDALHO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;1) 00-11;1
PEDRA;AGRESTE;ESTUPRO;01/01/2015;2015;FEMININO;7) 65 OU MAIS;1
PEDRA;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/01/2015;2015;FEMININO;1) 00-11;1
PETROLINA;SERTÃO;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;01/01/2015;2015;FEMININO;6) 35-64;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;2
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/01/2015;2015;FEMININO;2) 12-17;1
RIACHO DAS ALMAS;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;1
SALOA;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;2) 12-17;1
SANTA CRUZ DO CAPIBARIBE;AGRESTE;ESTUPRO DE VULNERÁVEL;01/01/2015;2015;FEMININO;1) 00-11;1
SERRA TALHADA;SERTÃO;ESTUPRO;01/01/2015;2015;FEMININO;1) 00-11;1
VITORIA DE SANTO ANTAO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/01/2015;2015;FEMININO;2) 12-17;1
MOREILANDIA;SERTÃO;ESTUPRO DE VULNERÁVEL;02/01/2015;2015;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;02/01/2015;2015;FEMININO;1) 00-11;1
QUIPAPA;ZONA DA MATA;ESTUPRO;02/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;02/01/2015;2015;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;02/01/2015;2015;MASCULINO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;02/01/2015;2015;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;03/01/2015;2015;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;03/01/2015;2015;FEMININO;5) 30-34;1
CAMARAGIBE;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;04/01/2015;2015;FEMININO;1) 00-11;1
CHA GRANDE;ZONA DA MATA;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;04/01/2015;2015;FEMININO;6) 35-64;1
GOIANA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;04/01/2015;2015;FEMININO;1) 00-11;1
ITAMARACA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;04/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;04/01/2015;2015;FEMININO;1) 00-11;1
SERRA TALHADA;SERTÃO;ESTUPRO;04/01/2015;2015;FEMININO;6) 35-64;1
AFOGADOS DA INGAZEIRA;SERTÃO;ESTUPRO;05/01/2015;2015;FEMININO;2) 12-17;1
AGUA PRETA;ZONA DA MATA;ESTUPRO;05/01/2015;2015;FEMININO;2) 12-17;1
ESCADA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;05/01/2015;2015;FEMININO;2) 12-17;1
GAMELEIRA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;05/01/2015;2015;FEMININO;1) 00-11;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;05/01/2015;2015;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO;05/01/2015;2015;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;05/01/2015;2015;FEMININO;2) 12-17;1
POMBOS;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;05/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;05/01/2015;2015;FEMININO;1) 00-11;1
RIO FORMOSO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;05/01/2015;2015;FEMININO;2) 12-17;1
SAO LOURENCO DA MATA;REGIÃO METROPOLITANA;ESTUPRO;05/01/2015;2015;FEMININO;2) 12-17;1
SERRA TALHADA;SERTÃO;ESTUPRO DE VULNERÁVEL;05/01/2015;2015;FEMININO;1) 00-11;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL;06/01/2015;2015;MASCULINO;1) 00-11;1
FLORES;SERTÃO;ESTUPRO DE VULNERÁVEL;06/01/2015;2015;FEMININO;2) 12-17;1
ITAMBE;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;06/01/2015;2015;MASCULINO;1) 00-11;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;06/01/2015;2015;FEMININO;4) 25-29;1
POMBOS;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;06/01/2015;2015;MASCULINO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO;06/01/2015;2015;FEMININO;2) 12-17;1
SAO BENEDITO DO SUL;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;06/01/2015;2015;MASCULINO;1) 00-11;1
SAO BENTO DO UNA;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;06/01/2015;2015;FEMININO;1) 00-11;1
SIRINHAEM;ZONA DA MATA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;06/01/2015;2015;MASCULINO;1) 00-11;1
AGUA PRETA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;07/01/2015;2015;FEMININO;2) 12-17;1
AGUAS BELAS;AGRESTE;ESTUPRO DE VULNERÁVEL;07/01/2015;2015;FEMININO;2) 12-17;1
BEZERROS;AGRESTE;ESTUPRO;07/01/2015;2015;FEMININO;2) 12-17;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL;07/01/2015;2015;FEMININO;1) 00-11;2
IBIMIRIM;SERTÃO;ESTUPRO;07/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;07/01/2015;2015;MASCULINO;2) 12-17;1
RIACHO DAS ALMAS;AGRESTE;ESTUPRO;07/01/2015;2015;FEMININO;2) 12-17;1
RIACHO DAS ALMAS;AGRESTE;ESTUPRO;07/01/2015;2015;FEMININO;5) 30-34;1
ESCADA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;08/01/2015;2015;FEMININO;2) 12-17;1
PETROLINA;SERTÃO;ESTUPRO;08/01/2015;2015;FEMININO;5) 30-34;1
RIBEIRAO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;09/01/2015;2015;FEMININO;2) 12-17;1
TIMBAUBA;ZONA DA MATA;ESTUPRO;09/01/2015;2015;FEMININO;3) 18-24;1
AFRANIO;SERTÃO;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;10/01/2015;2015;FEMININO;1) 00-11;1
AGUA PRETA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;10/01/2015;2015;FEMININO;2) 12-17;1
FEIRA NOVA;AGRESTE;ESTUPRO DE VULNERÁVEL;10/01/2015;2015;MASCULINO;2) 12-17;1
GOIANA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;10/01/2015;2015;FEMININO;1) 00-11;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;10/01/2015;2015;FEMININO;2) 12-17;1
MIRANDIBA;SERTÃO;ESTUPRO;10/01/2015;2015;FEMININO;3) 18-24;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;10/01/2015;2015;FEMININO;2) 12-17;1
PETROLANDIA;SERTÃO;ESTUPRO DE VULNERÁVEL;10/01/2015;2015;FEMININO;2) 12-17;1
TUPARETAMA;SERTÃO;ESTUPRO;10/01/2015;2015;FEMININO;3) 18-24;1
BELO JARDIM;AGRESTE;ESTUPRO DE VULNERÁVEL;11/01/2015;2015;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;11/01/2015;2015;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;11/01/2015;2015;FEMININO;6) 35-64;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;11/01/2015;2015;MASCULINO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;11/01/2015;2015;FEMININO;2) 12-17;1
