Programa Bolsa Família (PBF) - número de benefícios em dezembro
Sigla,Código,Município,2017,2018,2019,2020,2021,2022,2023,
PE,2600054,Abreu e Lima,15214,17891,16613,15997,15358,22704,20293,
PE,2600104,Afogados da Ingazeira,5143,5042,4794,5055,5040,6500,6631,
PE,2600203,Afrânio,4357,4655,4460,4336,4255,5435,4671,
PE,2600302,Agrestina,4210,4370,4157,4072,4005,6521,6596,
PE,2600401,Água Preta,5269,4454,4175,4415,4596,5361,5335,
PE,2600500,Águas Belas,8878,9905,9755,9658,9607,12543,12203,
PE,2600609,Alagoinha,2531,2591,2517,2618,2563,3167,2944,
PE,2600708,Aliança,6488,6665,6490,7029,6834,9909,8954,
PE,2600807,Altinho,4499,4609,4401,4287,4198,5851,5512,
PE,2600906,Amaraji,3737,3183,2962,3078,3162,4571,4263,
PE,2601003,Angelim,2236,2146,1924,2006,1947,2730,2538,
PE,2601052,Araçoiaba,3977,3785,3582,3539,3444,4390,4218,
PE,2601102,Araripina,16675,16823,15649,15213,14907,18226,17086,
PE,2601201,Arcoverde,7865,8078,7704,8363,8420,11433,11921,
PE,2601300,Barra de Guabiraba,2175,2077,1972,2119,2071,2647,2503,
PE,2601409,Barreiros,8635,8999,8494,8285,8049,11344,9858,
PE,2601508,Belém de Maria,2354,2518,2464,2404,2353,3391,3069,
PE,2601607,Belém de São Francisco,4115,4694,4561,4493,4407,6544,6151,
PE,2601706,Belo Jardim,11987,11836,11482,11149,10978,17288,15439,
PE,2601805,Betânia,2487,2378,2254,2386,2399,2912,2904,
PE,2601904,Bezerros,11928,12667,12174,11801,11552,18344,16977,
PE,2602001,Bodocó,8231,7945,7473,7341,7228,9481,8095,
PE,2602100,Bom Conselho,8246,7933,7601,7963,7802,8632,8528,
PE,2602209,Bom Jardim,7911,7925,7808,7602,7472,11291,10421,
PE,2602308,Bonito,6870,7256,7219,7441,7241,10928,10223,
PE,2602407,Brejão,1947,1846,1755,1805,1788,2235,2198,
PE,2602506,Brejinho,1433,1390,1368,1331,1313,1906,1787,
PE,2602605,Brejo da Madre de Deus,8230,8727,8272,8152,7998,11292,11118,
PE,2602704,Buenos Aires,2470,2720,2757,2683,2651,4321,3957,
PE,2602803,Buíque,10123,9674,9098,9553,9388,11758,11416,
PE,2602902,Cabo de Santo Agostinho,21740,21855,21137,23943,23245,31033,31277,
PE,2603009,Cabrobó,6282,6621,6691,6581,6603,9043,8926,
PE,2603108,Cachoeirinha,2884,3257,3285,3239,3224,5474,5216,
PE,2603207,Caetés,5266,5150,4934,5166,5099,5772,5715,
PE,2603306,Calçado,1738,1698,1674,1752,1770,1915,1853,
PE,2603405,Calumbi,1450,1457,1358,1315,1312,1939,1709,
PE,2603454,Camaragibe,11467,11921,11418,12598,13187,20188,21191,
PE,2603504,Camocim de São Félix,3805,3862,3747,3698,3647,5603,5233,
PE,2603603,Camutanga,1538,1516,1490,1465,1426,1728,1671,
PE,2603702,Canhotinho,3671,3601,3540,3688,3724,4575,4510,
PE,2603801,Capoeiras,3160,3158,3020,3210,3174,3741,3766,
PE,2603900,Carnaíba,2566,2499,2381,2549,2616,2985,2985,
PE,2603926,Carnaubeira da Penha,2535,2469,2398,2421,2591,3790,3960,
PE,2604007,Carpina,9704,10418,10383,10742,10498,18253,16917,
PE,2604106,Caruaru,28342,30196,29142,31999,31018,47594,50799,
PE,2604155,Casinhas,2321,2654,2636,2560,2477,3920,3927,
PE,2604205,Catende,8942,9005,8598,8273,7955,11993,10371,
PE,2604304,Cedro,1793,1749,1651,1716,1665,1919,1966,
PE,2604403,Chã de Alegria,2332,2467,2445,2389,2333,3719,3369,
PE,2604502,Chã Grande,4129,4125,3989,3933,3877,4863,4745,
PE,2604601,Condado,3114,2821,2727,2919,2960,4089,4085,
PE,2604700,Correntes,3574,3728,3632,3564,3473,4289,4148,
PE,2604809,Cortês,2484,2471,2253,2339,2297,2779,2665,
PE,2604908,Cumaru,3676,4005,3888,3780,3719,5144,4885,
PE,2605004,Cupira,3489,3637,3490,3718,3612,4511,4662,
PE,2605103,Custódia,6598,6815,6673,6628,6605,9812,9396,
PE,2605152,Dormentes,2314,2147,1981,2139,2346,3172,3083,
PE,2605202,Escada,12443,12195,11238,10882,10542,12985,11253,
PE,2605301,Exu,6613,6758,6604,6502,6443,8806,8491,
PE,2605400,Feira Nova,4445,5369,5188,5084,4976,7528,7044,
PE,2605459,Fernando de Noronha,6,5,2,9,15,36,51,
PE,2605509,Ferreiros,1498,1565,1517,1634,1559,2074,2073,
PE,2605608,Flores,4449,4193,3929,4064,3993,4683,4376,
PE,2605707,Floresta,4891,5273,5090,5006,4981,8135,7692,
PE,2605806,Frei Miguelinho,3048,3427,3348,3270,3178,4845,4595,
PE,2605905,Gameleira,4868,4704,4428,4560,4458,7133,5711,
PE,2606002,Garanhuns,18357,17673,17157,17921,17485,26730,25396,
PE,2606101,Glória do Goitá,4568,4731,4550,4894,4745,6006,6139,
PE,2606200,Goiana,9360,9434,9367,10524,10399,18239,17233,
PE,2606309,Granito,1569,1566,1490,1476,1441,1830,1786,
PE,2606408,Gravatá,12378,13181,12829,12537,12360,22109,19632,
PE,2606507,Iati,3775,3922,3810,3742,3647,4643,4351,
PE,2606606,Ibimirim,5307,5168,4877,5048,4948,6714,6227,
PE,2606705,Ibirajuba,1322,1300,1254,1311,1241,1681,1612,
PE,2606804,Igarassu,12350,14373,14364,13958,13595,22437,21486,
PE,2606903,Iguaraci,2368,2282,2139,2208,2148,2553,2563,
