Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"Abreu e Lima";"PE";"98462";"Não";"11,29%";"76,23%";"Atendimento Pleno";"0,5%"
"Afogados da Ingazeira";"PE";"40241";"Sim";"Atendimento Pleno";"81,66%";"20,01%";"--"
"Afrânio";"PE";"18674";"Não";"38,09%";"46,45%";"--";"Não há"
"Agrestina";"PE";"23779";"Não";"Atendimento Pleno";"16,52%";"0,17%";"Não há"
"Água Preta";"PE";"26461";"Não";"6,61%";"--";"--";"--"
"Águas Belas";"PE";"41548";"Não";"48,98%";"59,08%";"38,95%";"4,3%"
"Alagoinha";"PE";"13542";"Não";"43,58%";"46,66%";"29,81%";"0,6%"
"Aliança";"PE";"35741";"Não";"5,57%";"--";"44,04%";"1,2%"
"Altinho";"PE";"20674";"Não";"Atendimento Pleno";"0,08%";"39,99%";"36,7%"
"Amaraji";"PE";"18205";"Não";"--";"--";"46,17%";"11,8%"
"Angelim";"PE";"10241";"Em elaboração";"11,47%";"--";"2,67%";"--"
"Araçoiaba";"PE";"19243";"Sim";"68,59%";"--";"13,79%";"1%"
"Araripina";"PE";"85088";"Não";"26,64%";"56,17%";"57,42%";"0,2%"
"Arcoverde";"PE";"77742";"Não";"0,2%";"95,09%";"4,17%";"1,5%"
"Barra de Guabiraba";"PE";"12263";"Sim";"Atendimento Pleno";"81,24%";"10,58%";"26,7%"
"Barreiros";"PE";"40121";"Não";"0,67%";"68,51%";"--";"--"
"Belém de Maria";"PE";"10378";"Não";"14,37%";"--";"18,9%";"18,2%"
"Belém do São Francisco";"PE";"18301";"Em elaboração";"5,8%";"78,14%";"34,43%";"Não há"
"Belo Jardim";"PE";"79507";"Em elaboração";"Atendimento Pleno";"69,31%";"22,59%";"0,5%"
"Betânia";"PE";"11232";"Não";"40,93%";"69,95%";"69,95%";"Não há"
"Bezerros";"PE";"61694";"Não";"5,22%";"--";"15,76%";"8,8%"
"Bodocó";"PE";"34478";"Sim";"44,35%";"--";"41,99%";"--"
"Bom Conselho";"PE";"44294";"Não";"20,73%";"--";"2,5%";"23,4%"
"Bom Jardim";"PE";"37629";"Não";"29,55%";"98,2%";"30,66%";"8,8%"
"Bonito";"PE";"37474";"Não";"Atendimento Pleno";"55,65%";"22,29%";"1,9%"
"Brejão";"PE";"9079";"Sim";"50,37%";"--";"6,38%";"Não há"
"Brejinho";"PE";"7720";"Sim";"24,96%";"--";"58,55%";"20%"
"Brejo da Madre de Deus";"PE";"48648";"Não";"39,43%";"0,68%";"9,14%";"0,2%"
"Buenos Aires";"PE";"12808";"Não";"18,28%";"--";"--";"--"
